customer_id,gender,item_purchased,category,purchase_amount_(usd),location,season,subscription_status,discount_applied,promo_code_used,previous_purchases,CLV,Spending Level,loyal_customer,age_group,lifetime_value,rating_category,purchase_frequency_score
24,Male,Pants,Clothing,88,Oklahoma,Winter,1,1,1,40,3520,High,Yes,Adult,3520,Good,4.0
25,Male,Jacket,Outerwear,22,Florida,Fall,1,1,1,16,352,Low,No,Teen,352,Average,4.0
26,Male,Hoodie,Clothing,25,Texas,Summer,1,1,1,14,350,Low,No,Teen,350,Good,1.0
27,Male,Jewelry,Accessories,20,Nevada,Spring,1,1,1,13,260,Low,No,Mid-Age,260,Good,1.0
28,Male,Shorts,Clothing,56,Kentucky,Summer,1,1,1,7,392,Medium,No,Senior,392,Good,
29,Male,Handbag,Accessories,94,North Carolina,Fall,1,1,1,41,3854,High,Yes,Senior,3854,Good,
30,Male,Dress,Clothing,48,Wyoming,Fall,1,1,1,14,672,Medium,No,Adult,672,Good,4.0
31,Male,Jewelry,Accessories,31,North Carolina,Winter,1,1,1,16,496,Low,No,Senior,496,Good,2.0
32,Male,Dress,Clothing,79,West Virginia,Winter,1,1,1,45,3555,High,Yes,Adult,3555,Good,2.0
33,Male,Jacket,Outerwear,67,Kansas,Summer,1,1,1,37,2479,Medium,Yes,Mid-Age,2479,Good,1.0
34,Male,Pants,Clothing,38,Colorado,Summer,1,1,1,45,1710,Low,Yes,Senior,1710,Average,
35,Male,T-shirt,Clothing,91,North Dakota,Spring,1,1,1,38,3458,High,Yes,Mid-Age,3458,Good,
36,Male,Blouse,Clothing,33,Massachusetts,Summer,1,1,1,48,1584,Low,Yes,Senior,1584,Good,
37,Male,T-shirt,Clothing,69,Illinois,Winter,1,1,1,44,3036,Medium,Yes,Adult,3036,Good,3.0
38,Male,Jeans,Clothing,45,Indiana,Summer,1,1,1,10,450,Low,No,Adult,450,Average,4.0
39,Male,Dress,Clothing,37,Florida,Winter,1,1,1,44,1628,Low,Yes,Adult,1628,Good,
40,Male,Pants,Clothing,60,Arizona,Summer,1,1,1,18,1080,Medium,No,Elder,1080,Good,2.0
41,Male,Handbag,Accessories,76,Louisiana,Winter,1,1,1,31,2356,High,Yes,Elder,2356,Good,
42,Male,Scarf,Accessories,39,Alaska,Spring,1,1,1,40,1560,Low,Yes,Elder,1560,Good,1.0
43,Male,Coat,Outerwear,100,Tennessee,Spring,1,1,1,15,1500,High,No,Young Adult,1500,Good,1.0
44,Male,Scarf,Accessories,69,Ohio,Fall,1,1,1,19,1311,Medium,No,Young Adult,1311,Good,3.0
45,Male,Hat,Accessories,53,Kentucky,Summer,1,1,1,45,2385,Medium,Yes,Mid-Age,2385,Good,4.0
46,Male,Socks,Clothing,21,Tennessee,Fall,1,1,1,25,525,Low,No,Senior,525,Average,1.0
47,Male,Shirt,Clothing,43,California,Summer,1,1,1,45,1935,Low,Yes,Senior,1935,Average,
48,Male,Jewelry,Accessories,54,Montana,Winter,1,1,1,36,1944,Medium,Yes,Senior,1944,Good,4.0
49,Male,Shirt,Clothing,55,Nevada,Summer,1,1,1,38,2090,Medium,Yes,Mid-Age,2090,Average,2.0
50,Male,Hoodie,Clothing,30,New Jersey,Spring,1,1,1,34,1020,Low,Yes,Elder,1020,Good,
51,Male,Blouse,Clothing,28,Maryland,Spring,1,1,1,39,1092,Low,Yes,Senior,1092,Good,
52,Male,Skirt,Clothing,59,Vermont,Winter,1,1,1,7,413,Medium,No,Senior,413,Good,
53,Male,T-shirt,Clothing,20,Alaska,Summer,1,1,1,26,520,Low,Yes,Mid-Age,520,Average,4.0
54,Male,Skirt,Clothing,24,Mississippi,Winter,1,1,1,35,840,Low,Yes,Adult,840,Good,4.0
55,Male,Coat,Outerwear,94,New Mexico,Summer,1,1,1,35,3290,High,Yes,Senior,3290,Good,
56,Male,Jacket,Outerwear,28,South Carolina,Winter,1,1,1,49,1372,Low,Yes,Mid-Age,1372,Average,1.0
57,Male,Backpack,Accessories,73,Mississippi,Summer,1,1,1,46,3358,Medium,Yes,Mid-Age,3358,Good,4.0
58,Male,Coat,Outerwear,64,West Virginia,Summer,1,1,1,17,1088,Medium,No,Young Adult,1088,Good,3.0
59,Male,Hoodie,Clothing,54,Missouri,Summer,1,1,1,29,1566,Medium,Yes,Elder,1566,Good,2.0
60,Male,Belt,Accessories,79,Louisiana,Spring,1,1,1,4,316,High,No,Elder,316,Good,4.0
61,Male,Sweater,Clothing,37,Idaho,Summer,1,1,1,17,629,Low,No,Senior,629,Good,4.0
62,Male,Scarf,Accessories,68,Texas,Winter,1,1,1,21,1428,Medium,No,Senior,1428,Good,
63,Male,Sneakers,Footwear,21,Mississippi,Spring,1,1,1,31,651,Low,Yes,Adult,651,Good,3.0
64,Male,Sunglasses,Accessories,79,Arizona,Winter,1,1,1,43,3397,High,Yes,Adult,3397,Average,4.0
65,Male,Boots,Footwear,83,Alabama,Fall,1,1,1,18,1494,High,No,Elder,1494,Good,3.0
66,Male,Backpack,Accessories,36,New Jersey,Spring,1,1,1,44,1584,Low,Yes,Elder,1584,Good,
67,Male,Blouse,Clothing,94,Pennsylvania,Winter,1,1,1,3,282,High,No,Adult,282,Good,
68,Male,Coat,Outerwear,33,Connecticut,Winter,1,1,1,49,1617,Low,Yes,Mid-Age,1617,Good,2.0
69,Male,Handbag,Accessories,46,Utah,Summer,1,1,1,21,966,Medium,No,Senior,966,Good,
70,Male,Belt,Accessories,70,Tennessee,Summer,1,1,1,5,350,Medium,No,Senior,350,Good,4.0
71,Male,Belt,Accessories,29,Alabama,Fall,1,1,1,32,928,Low,Yes,Young Adult,928,Good,
72,Male,Dress,Clothing,48,Virginia,Summer,1,1,1,34,1632,Medium,Yes,Mid-Age,1632,Average,1.0
73,Male,Dress,Clothing,26,Georgia,Winter,1,1,1,21,546,Low,No,Teen,546,Average,
74,Male,Pants,Clothing,85,Hawaii,Spring,1,1,1,43,3655,High,Yes,Senior,3655,Average,
75,Male,Gloves,Accessories,58,Indiana,Spring,1,1,1,3,174,Medium,No,Senior,174,Good,2.0
76,Male,Scarf,Accessories,85,Utah,Summer,1,1,1,21,1785,High,No,Elder,1785,Average,1.0
77,Male,Hat,Accessories,43,Delaware,Summer,1,1,1,32,1376,Low,Yes,Senior,1376,Good,2.0
78,Male,Dress,Clothing,53,Delaware,Summer,1,1,1,36,1908,Medium,Yes,Young Adult,1908,Average,3.0
79,Male,Skirt,Clothing,91,Nebraska,Spring,1,1,1,50,4550,High,Yes,Senior,4550,Good,3.0
80,Male,Jacket,Outerwear,96,Iowa,Winter,1,1,1,43,4128,High,Yes,Mid-Age,4128,Average,
81,Male,Sandals,Footwear,72,New York,Summer,1,1,1,24,1728,Medium,No,Young Adult,1728,Average,
82,Male,Shoes,Footwear,96,Virginia,Summer,1,1,1,36,3456,High,Yes,Elder,3456,Average,
83,Male,Pants,Clothing,28,Georgia,Spring,1,1,1,21,588,Low,No,Young Adult,588,Good,
84,Male,Dress,Clothing,40,Texas,Summer,1,1,1,34,1360,Low,Yes,Mid-Age,1360,Good,4.0
85,Male,Coat,Outerwear,32,Arizona,Spring,1,1,1,42,1344,Low,Yes,Senior,1344,Good,
86,Male,Sunglasses,Accessories,95,New Mexico,Winter,1,1,1,2,190,High,No,Senior,190,Good,
87,Male,Hoodie,Clothing,41,Nevada,Spring,1,1,1,47,1927,Low,Yes,Young Adult,1927,Good,
88,Male,Shoes,Footwear,53,Ohio,Fall,1,1,1,44,2332,Medium,Yes,Senior,2332,Good,3.0
89,Male,T-shirt,Clothing,47,Wyoming,Fall,1,1,1,35,1645,Medium,Yes,Adult,1645,Average,2.0
90,Male,Jacket,Outerwear,83,California,Fall,1,1,1,15,1245,High,No,Senior,1245,Good,
91,Male,Hat,Accessories,48,South Carolina,Summer,1,1,1,29,1392,Medium,Yes,Young Adult,1392,Average,2.0
92,Male,Scarf,Accessories,99,South Carolina,Winter,1,1,1,18,1782,High,No,Mid-Age,1782,Good,
93,Male,Jacket,Outerwear,87,Texas,Winter,1,1,1,13,1131,High,No,Elder,1131,Good,
94,Male,Sweater,Clothing,62,Florida,Fall,1,1,1,46,2852,Medium,Yes,Mid-Age,2852,Good,4.0
95,Male,Skirt,Clothing,76,Nevada,Spring,1,1,1,28,2128,High,Yes,Senior,2128,Good,4.0
96,Male,Sneakers,Footwear,100,Missouri,Fall,1,1,1,48,4800,High,Yes,Mid-Age,4800,Good,2.0
97,Male,Gloves,Accessories,73,Delaware,Spring,1,1,1,43,3139,Medium,Yes,Adult,3139,Good,
98,Male,Shoes,Footwear,92,Virginia,Winter,1,1,1,37,3404,High,Yes,Young Adult,3404,Good,1.0
99,Male,Jeans,Clothing,67,New York,Spring,1,1,1,20,1340,Medium,No,Young Adult,1340,Average,1.0
100,Male,Hoodie,Clothing,40,Missouri,Summer,1,1,1,33,1320,Low,Yes,Adult,1320,Good,
101,Male,Sunglasses,Accessories,98,South Dakota,Fall,1,1,1,31,3038,High,Yes,Elder,3038,Average,3.0
102,Male,Coat,Outerwear,85,North Dakota,Spring,1,1,1,50,4250,High,Yes,Adult,4250,Good,
103,Male,Socks,Clothing,67,Oklahoma,Winter,1,1,1,35,2345,Medium,Yes,Senior,2345,Good,
104,Male,Boots,Footwear,89,West Virginia,Winter,1,1,1,22,1958,High,No,Senior,1958,Good,
105,Male,Sunglasses,Accessories,24,New Hampshire,Spring,1,1,1,1,24,Low,No,Senior,24,Good,2.0
106,Male,Backpack,Accessories,96,New York,Fall,1,1,1,4,384,High,No,Elder,384,Good,1.0
107,Male,Jacket,Outerwear,35,Minnesota,Summer,1,1,1,31,1085,Low,Yes,Elder,1085,Good,2.0
108,Male,Sneakers,Footwear,67,Maryland,Winter,1,1,1,46,3082,Medium,Yes,Adult,3082,Average,3.0
109,Male,Socks,Clothing,79,Montana,Spring,1,1,1,32,2528,High,Yes,Elder,2528,Average,
110,Male,T-shirt,Clothing,85,Alabama,Spring,1,1,1,43,3655,High,Yes,Senior,3655,Average,3.0
111,Male,Backpack,Accessories,26,New York,Summer,1,1,1,26,676,Low,Yes,Senior,676,Good,3.0
112,Male,Belt,Accessories,75,Massachusetts,Summer,1,1,1,9,675,High,No,Adult,675,Good,1.0
113,Male,Gloves,Accessories,65,Florida,Spring,1,1,1,28,1820,Medium,Yes,Mid-Age,1820,Good,
114,Male,Hat,Accessories,54,New Jersey,Winter,1,1,1,20,1080,Medium,No,Mid-Age,1080,Average,
115,Male,Coat,Outerwear,95,Massachusetts,Summer,1,1,1,9,855,High,No,Elder,855,Good,4.0
116,Male,Skirt,Clothing,94,Wyoming,Spring,1,1,1,48,4512,High,Yes,Senior,4512,Good,
117,Male,Shoes,Footwear,86,Virginia,Spring,1,1,1,12,1032,High,No,Senior,1032,Average,1.0
118,Male,Sandals,Footwear,32,South Dakota,Summer,1,1,1,29,928,Low,Yes,Senior,928,Good,3.0
119,Male,Sweater,Clothing,45,Kentucky,Fall,1,1,1,27,1215,Low,Yes,Senior,1215,Good,
120,Male,Coat,Outerwear,76,Wyoming,Fall,1,1,1,44,3344,High,Yes,Mid-Age,3344,Good,1.0
121,Male,Hat,Accessories,84,West Virginia,Summer,1,1,1,32,2688,High,Yes,Elder,2688,Good,1.0
122,Male,Shorts,Clothing,72,Virginia,Winter,1,1,1,11,792,Medium,No,Young Adult,792,Good,3.0
123,Male,Backpack,Accessories,40,Washington,Spring,1,1,1,44,1760,Low,Yes,Mid-Age,1760,Good,3.0
124,Male,Sweater,Clothing,89,Louisiana,Fall,1,1,1,46,4094,High,Yes,Senior,4094,Average,4.0
125,Male,Sweater,Clothing,86,Nevada,Spring,1,1,1,50,4300,High,Yes,Mid-Age,4300,Average,1.0
126,Male,Shorts,Clothing,54,California,Winter,1,1,1,45,2430,Medium,Yes,Senior,2430,Good,
127,Male,Shorts,Clothing,36,Mississippi,Spring,1,1,1,48,1728,Low,Yes,Mid-Age,1728,Good,
128,Male,Sweater,Clothing,89,Mississippi,Winter,1,1,1,26,2314,High,Yes,Young Adult,2314,Good,4.0
129,Male,Scarf,Accessories,32,California,Spring,1,1,1,21,672,Low,No,Young Adult,672,Good,3.0
130,Male,Dress,Clothing,67,Pennsylvania,Summer,1,1,1,49,3283,Medium,Yes,Young Adult,3283,Good,
131,Male,Scarf,Accessories,39,Kentucky,Fall,1,1,1,13,507,Low,No,Mid-Age,507,Good,3.0
132,Male,Skirt,Clothing,29,Maine,Summer,1,1,1,46,1334,Low,Yes,Adult,1334,Good,4.0
133,Male,Backpack,Accessories,58,New Mexico,Fall,1,1,1,42,2436,Medium,Yes,Adult,2436,Good,4.0
134,Male,Sweater,Clothing,65,Montana,Winter,1,1,1,25,1625,Medium,No,Senior,1625,Poor,1.0
135,Male,Hat,Accessories,94,Texas,Fall,1,1,1,25,2350,High,No,Mid-Age,2350,Good,2.0
136,Male,Sandals,Footwear,81,Kansas,Fall,1,1,1,12,972,High,No,Mid-Age,972,Good,
137,Male,Blouse,Clothing,86,South Carolina,Winter,1,1,1,4,344,High,No,Mid-Age,344,Average,
138,Male,Sneakers,Footwear,43,Colorado,Spring,1,1,1,38,1634,Low,Yes,Elder,1634,Good,4.0
139,Male,Skirt,Clothing,29,Georgia,Winter,1,1,1,42,1218,Low,Yes,Elder,1218,Good,4.0
140,Male,Coat,Outerwear,95,Florida,Fall,1,1,1,30,2850,High,Yes,Senior,2850,Good,1.0
141,Male,Shirt,Clothing,28,North Carolina,Fall,1,1,1,50,1400,Low,Yes,Elder,1400,Good,4.0
142,Male,Gloves,Accessories,46,Virginia,Fall,1,1,1,45,2070,Medium,Yes,Senior,2070,Good,4.0
143,Male,Jacket,Outerwear,58,Nebraska,Fall,1,1,1,33,1914,Medium,Yes,Mid-Age,1914,Average,3.0
144,Male,Coat,Outerwear,48,Missouri,Fall,1,1,1,25,1200,Medium,No,Adult,1200,Average,
145,Male,Shoes,Footwear,43,New Jersey,Fall,1,1,1,25,1075,Low,No,Young Adult,1075,Average,2.0
146,Male,Jewelry,Accessories,95,Missouri,Fall,1,1,1,44,4180,High,Yes,Young Adult,4180,Good,
147,Male,Skirt,Clothing,30,Colorado,Fall,1,1,1,21,630,Low,No,Senior,630,Good,3.0
148,Male,Shoes,Footwear,64,Idaho,Summer,1,1,1,31,1984,Medium,Yes,Elder,1984,Average,3.0
149,Male,Gloves,Accessories,90,Wyoming,Fall,1,1,1,47,4230,High,Yes,Mid-Age,4230,Average,1.0
150,Male,Pants,Clothing,76,Delaware,Summer,1,1,1,14,1064,High,No,Mid-Age,1064,Average,2.0
151,Male,Boots,Footwear,96,California,Fall,1,1,1,17,1632,High,No,Adult,1632,Good,
152,Male,Sunglasses,Accessories,47,North Dakota,Fall,1,1,1,3,141,Medium,No,Adult,141,Good,1.0
153,Male,Shirt,Clothing,85,South Carolina,Summer,1,1,1,42,3570,High,Yes,Adult,3570,Good,1.0
154,Male,Hoodie,Clothing,55,North Carolina,Winter,1,1,1,22,1210,Medium,No,Elder,1210,Average,1.0
155,Male,Dress,Clothing,98,Oklahoma,Fall,1,1,1,21,2058,High,No,Mid-Age,2058,Good,
156,Male,Socks,Clothing,77,Maine,Spring,1,1,1,21,1617,High,No,Elder,1617,Good,
157,Male,Shorts,Clothing,26,Missouri,Fall,1,1,1,40,1040,Low,Yes,Adult,1040,Good,1.0
158,Male,Hat,Accessories,68,Vermont,Fall,1,1,1,1,68,Medium,No,Mid-Age,68,Average,3.0
159,Male,Shirt,Clothing,73,Connecticut,Fall,1,1,1,50,3650,Medium,Yes,Young Adult,3650,Good,2.0
160,Male,Gloves,Accessories,27,New Hampshire,Fall,1,1,1,39,1053,Low,Yes,Senior,1053,Good,
161,Male,Gloves,Accessories,23,Texas,Summer,1,1,1,34,782,Low,Yes,Adult,782,Good,2.0
162,Male,Backpack,Accessories,49,North Dakota,Fall,1,1,1,29,1421,Medium,Yes,Elder,1421,Average,3.0
163,Male,Sunglasses,Accessories,74,California,Summer,1,1,1,31,2294,High,Yes,Senior,2294,Average,
164,Male,Skirt,Clothing,67,Virginia,Summer,1,1,1,8,536,Medium,No,Senior,536,Average,4.0
165,Male,Handbag,Accessories,65,Delaware,Spring,1,1,1,5,325,Medium,No,Senior,325,Average,3.0
166,Male,Handbag,Accessories,60,Kentucky,Winter,1,1,1,7,420,Medium,No,Mid-Age,420,Average,2.0
167,Male,Sneakers,Footwear,31,Delaware,Fall,1,1,1,30,930,Low,Yes,Senior,930,Good,2.0
168,Male,Gloves,Accessories,27,Arkansas,Fall,1,1,1,14,378,Low,No,Adult,378,Good,
169,Male,Shoes,Footwear,80,Louisiana,Summer,1,1,1,5,400,High,No,Adult,400,Average,3.0
170,Male,Jacket,Outerwear,30,Nevada,Summer,1,1,1,3,90,Low,No,Adult,90,Average,
171,Male,Shirt,Clothing,25,Wyoming,Fall,1,1,1,46,1150,Low,Yes,Senior,1150,Average,
172,Male,Shorts,Clothing,35,Virginia,Summer,1,1,1,4,140,Low,No,Adult,140,Good,4.0
173,Male,Jewelry,Accessories,67,Nebraska,Summer,1,1,1,42,2814,Medium,Yes,Senior,2814,Good,
174,Male,Hat,Accessories,46,Hawaii,Fall,1,1,1,30,1380,Medium,Yes,Young Adult,1380,Average,1.0
175,Male,Shoes,Footwear,35,Vermont,Winter,1,1,1,37,1295,Low,Yes,Mid-Age,1295,Average,1.0
176,Male,Coat,Outerwear,86,Oklahoma,Fall,1,1,1,2,172,High,No,Senior,172,Average,1.0
177,Male,Backpack,Accessories,81,New Hampshire,Spring,1,1,1,30,2430,High,Yes,Senior,2430,Average,
178,Male,Hoodie,Clothing,42,Kansas,Fall,1,1,1,47,1974,Low,Yes,Young Adult,1974,Good,2.0
179,Male,Skirt,Clothing,43,Idaho,Fall,1,1,1,21,903,Low,No,Elder,903,Good,
180,Male,Boots,Footwear,31,Illinois,Fall,1,1,1,9,279,Low,No,Elder,279,Good,3.0
181,Male,Sandals,Footwear,81,South Dakota,Fall,1,1,1,12,972,High,No,Senior,972,Average,3.0
182,Male,Pants,Clothing,61,Massachusetts,Summer,1,1,1,4,244,Medium,No,Adult,244,Good,4.0
183,Male,Gloves,Accessories,96,Alabama,Summer,1,1,1,10,960,High,No,Mid-Age,960,Average,1.0
184,Male,Skirt,Clothing,29,Ohio,Spring,1,1,1,26,754,Low,Yes,Senior,754,Good,4.0
185,Male,Sneakers,Footwear,33,Hawaii,Spring,1,1,1,40,1320,Low,Yes,Adult,1320,Average,3.0
186,Male,T-shirt,Clothing,32,Wisconsin,Summer,1,1,1,34,1088,Low,Yes,Senior,1088,Good,3.0
187,Male,Backpack,Accessories,56,Minnesota,Summer,1,1,1,31,1736,Medium,Yes,Mid-Age,1736,Average,1.0
188,Male,Shoes,Footwear,94,Georgia,Spring,1,1,1,1,94,High,No,Young Adult,94,Average,
189,Male,Hoodie,Clothing,53,Arkansas,Spring,1,1,1,5,265,Medium,No,Senior,265,Average,
190,Male,Blouse,Clothing,82,West Virginia,Fall,1,1,1,4,328,High,No,Mid-Age,328,Good,4.0
191,Male,Coat,Outerwear,70,Indiana,Fall,1,1,1,48,3360,Medium,Yes,Elder,3360,Average,
192,Male,Hat,Accessories,76,Utah,Fall,1,1,1,29,2204,High,Yes,Elder,2204,Good,
193,Male,Shoes,Footwear,29,Nebraska,Summer,1,1,1,12,348,Low,No,Senior,348,Average,
194,Male,Belt,Accessories,100,North Dakota,Fall,1,1,1,29,2900,High,Yes,Mid-Age,2900,Average,1.0
195,Male,Backpack,Accessories,94,Missouri,Spring,1,1,1,15,1410,High,No,Senior,1410,Average,
196,Male,Jacket,Outerwear,25,New York,Fall,1,1,1,34,850,Low,Yes,Senior,850,Good,2.0
197,Male,Boots,Footwear,88,Washington,Summer,1,1,1,41,3608,High,Yes,Mid-Age,3608,Good,3.0
198,Male,Scarf,Accessories,78,South Carolina,Fall,1,1,1,41,3198,High,Yes,Senior,3198,Average,2.0
199,Male,Jewelry,Accessories,45,Utah,Winter,1,1,1,39,1755,Low,Yes,Senior,1755,Good,3.0
200,Male,Hat,Accessories,73,Idaho,Summer,1,1,1,32,2336,Medium,Yes,Senior,2336,Good,4.0
201,Male,Dress,Clothing,61,Pennsylvania,Summer,1,1,1,29,1769,Medium,Yes,Young Adult,1769,Average,2.0
202,Male,Blouse,Clothing,22,Missouri,Fall,1,1,1,15,330,Low,No,Elder,330,Good,1.0
203,Male,Hat,Accessories,38,Nebraska,Spring,1,1,1,33,1254,Low,Yes,Senior,1254,Average,1.0
204,Male,Scarf,Accessories,38,Indiana,Fall,1,1,1,18,684,Low,No,Elder,684,Average,4.0
205,Male,Sneakers,Footwear,100,Arizona,Fall,1,1,1,35,3500,High,Yes,Young Adult,3500,Good,
206,Male,Shirt,Clothing,64,Hawaii,Winter,1,1,1,25,1600,Medium,No,Elder,1600,Average,4.0
207,Male,T-shirt,Clothing,55,Wisconsin,Summer,1,1,1,6,330,Medium,No,Young Adult,330,Good,3.0
208,Male,Gloves,Accessories,91,Rhode Island,Summer,1,1,1,17,1547,High,No,Elder,1547,Average,
209,Male,Skirt,Clothing,38,Wisconsin,Spring,1,1,1,17,646,Low,No,Senior,646,Good,2.0
210,Male,Sandals,Footwear,97,Minnesota,Winter,1,1,1,44,4268,High,Yes,Senior,4268,Average,
211,Male,Jacket,Outerwear,22,Vermont,Fall,1,1,1,6,132,Low,No,Mid-Age,132,Average,3.0
212,Male,Skirt,Clothing,92,South Dakota,Fall,1,1,1,45,4140,High,Yes,Elder,4140,Good,3.0
213,Male,Handbag,Accessories,84,Virginia,Fall,1,1,1,7,588,High,No,Elder,588,Good,1.0
214,Male,Handbag,Accessories,93,Nevada,Fall,1,1,1,11,1023,High,No,Adult,1023,Good,
215,Male,Jacket,Outerwear,50,Hawaii,Summer,1,1,1,41,2050,Medium,Yes,Young Adult,2050,Good,
216,Male,Scarf,Accessories,64,New Jersey,Spring,1,1,1,24,1536,Medium,No,Elder,1536,Average,
217,Male,Shorts,Clothing,61,Massachusetts,Spring,1,1,1,21,1281,Medium,No,Mid-Age,1281,Good,4.0
218,Male,Sunglasses,Accessories,48,Oklahoma,Winter,1,1,1,24,1152,Medium,No,Adult,1152,Average,1.0
219,Male,T-shirt,Clothing,45,California,Spring,1,1,1,8,360,Low,No,Adult,360,Average,
220,Male,Belt,Accessories,88,Nevada,Spring,1,1,1,12,1056,High,No,Adult,1056,Average,3.0
221,Male,Sneakers,Footwear,57,Arizona,Spring,1,1,1,48,2736,Medium,Yes,Mid-Age,2736,Good,3.0
222,Male,Hat,Accessories,68,North Carolina,Summer,1,1,1,6,408,Medium,No,Adult,408,Good,
223,Male,Gloves,Accessories,94,New York,Spring,1,1,1,14,1316,High,No,Senior,1316,Good,3.0
224,Male,Pants,Clothing,41,Wyoming,Spring,1,1,1,34,1394,Low,Yes,Young Adult,1394,Good,1.0
225,Male,Socks,Clothing,83,South Dakota,Summer,1,1,1,12,996,High,No,Elder,996,Average,
226,Male,Jacket,Outerwear,22,Arkansas,Spring,1,1,1,11,242,Low,No,Young Adult,242,Average,1.0
227,Male,Shoes,Footwear,74,Texas,Spring,1,1,1,5,370,High,No,Adult,370,Average,2.0
228,Male,Jeans,Clothing,90,Rhode Island,Winter,1,1,1,25,2250,High,No,Senior,2250,Good,3.0
229,Male,Socks,Clothing,79,New Hampshire,Spring,1,1,1,11,869,High,No,Teen,869,Average,1.0
230,Male,Sandals,Footwear,28,Ohio,Spring,1,1,1,27,756,Low,Yes,Elder,756,Good,
231,Male,Scarf,Accessories,88,Utah,Fall,1,1,1,43,3784,High,Yes,Elder,3784,Good,1.0
232,Male,Blouse,Clothing,26,Tennessee,Spring,1,1,1,18,468,Low,No,Adult,468,Average,
233,Male,Jewelry,Accessories,27,Hawaii,Winter,1,1,1,32,864,Low,Yes,Senior,864,Good,
234,Male,Sweater,Clothing,83,Arizona,Fall,1,1,1,27,2241,High,Yes,Young Adult,2241,Good,
235,Male,Gloves,Accessories,39,South Dakota,Summer,1,1,1,24,936,Low,No,Young Adult,936,Good,4.0
236,Male,Sunglasses,Accessories,89,New Jersey,Winter,1,1,1,31,2759,High,Yes,Mid-Age,2759,Good,
237,Male,Coat,Outerwear,68,North Dakota,Winter,1,1,1,39,2652,Medium,Yes,Mid-Age,2652,Average,3.0
238,Male,Dress,Clothing,90,Iowa,Summer,1,1,1,36,3240,High,Yes,Senior,3240,Average,3.0
239,Male,Skirt,Clothing,34,Ohio,Fall,1,1,1,5,170,Low,No,Elder,170,Good,1.0
240,Male,Pants,Clothing,51,Vermont,Summer,1,1,1,47,2397,Medium,Yes,Senior,2397,Average,
241,Male,Sweater,Clothing,45,Montana,Winter,1,1,1,29,1305,Low,Yes,Senior,1305,Average,3.0
242,Male,Hoodie,Clothing,88,Delaware,Winter,1,1,1,43,3784,High,Yes,Mid-Age,3784,Good,
243,Male,Coat,Outerwear,85,New York,Summer,1,1,1,40,3400,High,Yes,Senior,3400,Good,
244,Male,Jewelry,Accessories,100,Kentucky,Winter,1,1,1,4,400,High,No,Young Adult,400,Average,2.0
